"comunicacao(-1)","comunicacao(-2)","data(-1)","ipca(-1)","igpm(-1)","ipca15(-1)","bm_broad(-1)","m1(-1)","icbr(-1)","ibcbr(-1)","pimpf(-1)","tcu(-1)","aggreg_wage(-1)","elec(-1)","brl_usd(-1)","selic(-1)","saving(-1)","cred(-1)","net_debt_gdp(-1)","primary(-1)","current_accoutn(-1)","trade_balance(-1)","imports(-1)","ipca(-2)","igpm(-2)","ipca15(-2)","bm_broad(-2)","m1(-2)","icbr(-2)","ibcbr(-2)","pimpf(-2)","tcu(-2)","aggreg_wage(-2)","elec(-2)","brl_usd(-2)","selic(-2)","saving(-2)","cred(-2)","net_debt_gdp(-2)","primary(-2)","current_accoutn(-2)","trade_balance(-2)","imports(-2)"
"-0.17"," 0.21","2012-03-01"," 0.45","-0.06"," 0.53"," 1.46996853","-3.87886904","-2.42837177"," -1.8608585"," -7.3145246","  1.3","  1.36752537"," 1.02832004"," -1.71987345","0.75"," 0.56767291","-0.0378081314"," 0.53","1245.4074852","  77.8737501","-6379.6632124"," -4.7859610"," 0.56"," 0.25"," 0.65"," 0.82774563"," 9.34721613"," 0.75690899"," -0.1056189"," -8.1573896"," -2.4","  3.97505366","-1.02054701"," -7.28494480","0.89"," 1.41913825"," 2.2800313585","-0.29"," -76.4309177"," -16.1504313"," -103.2568343","-13.4834566"
"-0.36","-0.17","2012-04-01"," 0.21"," 0.43"," 0.25"," 0.12063843","-2.89641693"," 2.14861235"," -4.2304101","  1.2401353"," -1.0","  1.12738959","-1.19475288","  6.60774903","0.82"," 0.42343625"," 0.3863396592"," 0.15"," -63.4291730"," -59.6520023","  -76.6228676"," -6.4635734"," 0.45","-0.06"," 0.53"," 1.46996853","-3.87886904","-2.42837177"," -1.8608585"," -7.3145246","  1.3","  1.36752537"," 1.02832004"," -1.71987345","0.75"," 0.56767291","-0.0378081314"," 0.53","1245.4074852","  77.8737501","-6379.6632124"," -4.7859610"
" 0.46","-0.36","2012-05-01"," 0.64"," 0.85"," 0.43"," 1.19837492","-1.18158140","-0.26292726","  1.5074246"," 11.0244989"," -0.1"," -4.56426366"," 1.64164716","  3.82651661","0.71"," 1.13086318"," 1.8555246345","-0.89","   9.7500912","  30.1913835","   24.5477808"," 15.7112372"," 0.21"," 0.43"," 0.25"," 0.12063843","-2.89641693"," 2.14861235"," -4.2304101","  1.2401353"," -1.0","  1.12738959","-1.19475288","  6.60774903","0.82"," 0.42343625"," 0.3863396592"," 0.15"," -63.4291730"," -59.6520023","  -76.6228676"," -6.4635734"
"-0.19"," 0.46","2012-06-01"," 0.36"," 1.02"," 0.51"," 0.85801558"," 0.31240341"," 1.58172232","  8.1270779"," -6.9207623","  1.0","  1.38448439"," 4.66654020","  6.90038071","0.74"," 0.98082740"," 1.3311289752","-0.76","  36.3705142","   0.9260458","   71.6896918"," -0.9447098"," 0.64"," 0.85"," 0.43"," 1.19837492","-1.18158140","-0.26292726","  1.5074246"," 11.0244989"," -0.1"," -4.56426366"," 1.64164716","  3.82651661","0.71"," 1.13086318"," 1.8555246345","-0.89","   9.7500912","  30.1913835","   24.5477808"," 15.7112372"
"-0.01","-0.19","2012-07-01"," 0.08"," 0.66"," 0.18"," 0.37675927"," 0.27921314","-0.31141869"," -4.4414076"," 10.4525862"," -0.2","  0.90099455","-1.62338503"," -0.04946332","0.64"," 1.94675003"," 1.6840526255","-0.73"," -81.3691300","  -1.0426692","  -63.8854502","  8.3049993"," 0.36"," 1.02"," 0.51"," 0.85801558"," 0.31240341"," 1.58172232","  8.1270779"," -6.9207623","  1.0","  1.38448439"," 4.66654020","  6.90038071","0.74"," 0.98082740"," 1.3311289752","-0.76","  36.3705142","   0.9260458","   71.6896918"," -0.9447098"
" 0.15","-0.01","2012-08-01"," 0.43"," 1.34"," 0.33"," 1.02782992"," 1.67179007"," 7.42797640","  3.3678942"," -4.0975610","  0.2","  1.38458333","-3.12138120","  1.42029990","0.68"," 1.64377332"," 1.5440269908"," 0.01","   5.3238245","  14.9505592","  205.0159963"," -8.3993692"," 0.08"," 0.66"," 0.18"," 0.37675927"," 0.27921314","-0.31141869"," -4.4414076"," 10.4525862"," -0.2","  0.90099455","-1.62338503"," -0.04946332","0.64"," 1.94675003"," 1.6840526255","-0.73"," -81.3691300","  -1.0426692","  -63.8854502","  8.3049993"
"-0.01"," 0.15","2012-09-01"," 0.41"," 1.43"," 0.39"," 0.60619146"," 2.15639408"," 0.74313409"," -1.5771998","  6.3072228","  1.2","  1.42745136","-0.76609617"," -0.62457305","0.69"," 2.32110474"," 0.8161792257","-0.27","  99.3232458","  12.2925275","  -71.5002810"," -2.2135250"," 0.43"," 1.34"," 0.33"," 1.02782992"," 1.67179007"," 7.42797640","  3.3678942"," -4.0975610","  0.2","  1.38458333","-3.12138120","  1.42029990","0.68"," 1.64377332"," 1.5440269908"," 0.01","   5.3238245","  14.9505592","  205.0159963"," -8.3993692"
" 0.03","-0.01","2012-10-01"," 0.57"," 0.97"," 0.48"," 0.37923260","-0.91303702"," 1.77998717","  3.6407085","  6.6985646","  0.0","  1.38032357","-1.67268944"," -0.32406953","0.54"," 1.23631841"," 1.2302497893"," 0.09"," -46.1963577"," -47.8224287"," -105.9805468","  5.5010607"," 0.41"," 1.43"," 0.39"," 0.60619146"," 2.15639408"," 0.74313409"," -1.5771998","  6.3072228","  1.2","  1.42745136","-0.76609617"," -0.62457305","0.69"," 2.32110474"," 0.8161792257","-0.27","  99.3232458","  12.2925275","  -71.5002810"," -2.2135250"
" 0.31"," 0.03","2012-11-01"," 0.59"," 0.02"," 0.65"," 1.28519844"," 3.28540082","-1.04773909","  1.6614675"," -7.2645740","  1.0","  1.63143293"," 3.51644068","  0.03940887","0.61"," 1.74285471"," 1.1085353801"," 0.02"," -46.9203533","  16.8211028","-2325.0549451"," -8.8057714"," 0.57"," 0.97"," 0.48"," 0.37923260","-0.91303702"," 1.77998717","  3.6407085","  6.6985646","  0.0","  1.38032357","-1.67268944"," -0.32406953","0.54"," 1.23631841"," 1.2302497893"," 0.09"," -46.1963577"," -47.8224287"," -105.9805468","  5.5010607"
" 0.31"," 0.31","2012-12-01"," 0.60","-0.03"," 0.54"," 1.24713023"," 0.42944075"," 1.05883290"," -5.5433260","  8.1237911","  0.0"," -0.32821989"," 1.29639591","  3.74236754","0.55"," 1.14300414"," 1.4173476726","-0.18"," 679.4849710","  48.8627467","  159.6799684"," 15.8289858"," 0.59"," 0.02"," 0.65"," 1.28519844"," 3.28540082","-1.04773909","  1.6614675"," -7.2645740","  1.0","  1.63143293"," 3.51644068","  0.03940887","0.61"," 1.74285471"," 1.1085353801"," 0.02"," -46.9203533","  16.8211028","-2325.0549451"," -8.8057714"
" 0.03"," 0.31","2013-01-01"," 0.79"," 0.68"," 0.69"," 0.54858463"," 0.83435871"," 1.42587049","  4.3149718"," -6.2611807","  0.1","  1.49429696"," 0.35579629"," -3.03303588","0.55"," 1.30266949"," 1.5180429876","-0.36","-144.4844137","  26.9033285","   33.9520730","  2.1720678"," 0.60","-0.03"," 0.54"," 1.24713023"," 0.42944075"," 1.05883290"," -5.5433260","  8.1237911","  0.0"," -0.32821989"," 1.29639591","  3.74236754","0.55"," 1.14300414"," 1.4173476726","-0.18"," 679.4849710","  48.8627467","  159.6799684"," 15.8289858"
"-0.08"," 0.03","2013-02-01"," 0.86"," 0.34"," 0.88","-0.60340224","12.06026614","-2.05048544"," -2.4101280","-12.0229008"," -3.6","  3.61785499"," 2.24362366"," -2.70204122","0.60"," 2.35161351"," 2.4881417631"," 0.11","-503.4606988","  -3.0394573","  -38.8402999","-15.2500456"," 0.79"," 0.68"," 0.69"," 0.54858463"," 0.83435871"," 1.42587049","  4.3149718"," -6.2611807","  0.1","  1.49429696"," 0.35579629"," -3.03303588","0.55"," 1.30266949"," 1.5180429876","-0.36","-144.4844137","  26.9033285","   33.9520730","  2.1720678"
" 0.10","-0.08","2013-03-01"," 0.60"," 0.29"," 0.68"," 1.08474727","-3.91509836","-3.25905955"," -3.2119320","  2.4945770","  1.3","  1.01215866","-2.27460925"," -0.64396036","0.49"," 0.91137113","-0.0917521063","-0.02","  35.9472792","  47.3528519","  261.0130931"," 14.0765504"," 0.86"," 0.34"," 0.88","-0.60340224","12.06026614","-2.05048544"," -2.4101280","-12.0229008"," -3.6","  3.61785499"," 2.24362366"," -2.70204122","0.60"," 2.35161351"," 2.4881417631"," 0.11","-503.4606988","  -3.0394573","  -38.8402999","-15.2500456"
