"data","ipca","alimentacao","habitacao","residencia","vestuario","transporte","comunicacao","saude","despesas_pessoais","educacao"
2012-01-01,0.56,0.86,0.53,0.16,0.07,0.69,0.21,0.3,0.71,0.39
2012-02-01,0.45,0.19,0.6,0.06,-0.23,-0.33,-0.17,0.7,0.88,5.62
2012-03-01,0.21,0.25,0.48,-0.4,-0.61,0.16,-0.36,0.38,0.55,0.54
2012-04-01,0.64,0.51,0.8,-0.79,0.98,0.1,0.46,0.96,2.23,0.04
2012-05-01,0.36,0.73,0.8,0.17,0.89,-0.58,-0.19,0.66,0.6,-0.01
2012-06-01,0.08,0.68,0.28,-0.03,0.39,-1.18,-0.01,0.38,0.47,0.06
2012-07-01,0.43,0.91,0.54,-0.01,0.04,-0.03,0.15,0.36,0.91,0.12
2012-08-01,0.41,0.88,0.22,0.4,0.19,0.06,-0.01,0.53,0.42,0.51
2012-09-01,0.57,1.26,0.71,0.18,0.89,-0.08,0.03,0.32,0.73,0.1
2012-10-01,0.59,1.36,0.38,0.37,1.09,0.24,0.31,0.48,0.1,0.05
2012-11-01,0.6,0.79,0.64,0.47,0.86,0.68,0.31,0.32,0.53,0.05
2012-12-01,0.79,1.03,0.63,0.27,1.11,0.75,0.03,0.4,1.6,0.19
2013-01-01,0.86,1.99,-0.2,1.15,-0.53,0.75,-0.08,0.73,1.55,0.35
2013-02-01,0.6,1.45,-2.38,0.53,0.55,0.81,0.1,0.65,0.57,5.4
2013-03-01,0.47,1.14,0.51,0.11,0.15,-0.09,0.13,0.32,0.54,0.56
2013-04-01,0.55,0.96,0.62,0.63,0.65,-0.19,-0.32,1.28,0.61,0.1
2013-05-01,0.37,0.31,0.75,0.46,0.84,-0.25,0.08,0.94,0.41,0.06
2013-06-01,0.26,0.04,0.57,0.12,0.5,0.14,0.19,0.36,0.4,0.18
2013-07-01,0.03,-0.33,0.57,0.28,-0.39,-0.66,0.2,0.34,1.13,0.11
2013-08-01,0.24,0.01,0.57,0.89,0.08,-0.06,0.02,0.45,0.39,0.67
2013-09-01,0.35,0.14,0.62,0.65,0.63,0.44,-0.04,0.46,0.2,0.12
2013-10-01,0.57,1.03,0.56,0.81,1.13,0.17,0.08,0.39,0.43,0.09
2013-11-01,0.54,0.56,0.69,0.38,0.85,0.36,0.4,0.41,0.87,0.08
2013-12-01,0.92,0.89,0.52,0.89,0.8,1.85,0.74,0.41,1,0.05
2014-01-01,0.55,0.84,0.55,0.49,-0.15,-0.03,0.03,0.48,1.72,0.57
2014-02-01,0.69,0.56,0.77,1.07,-0.4,-0.05,0.14,0.74,0.69,5.97
2014-03-01,0.92,1.92,0.33,0.38,0.31,1.38,-1.26,0.43,0.79,0.53
2014-04-01,0.67,1.19,0.87,0.2,0.47,0.32,0.02,1.01,0.31,0.03
2014-05-01,0.46,0.58,0.61,1.03,0.84,-0.45,0.11,0.98,0.8,0.13
2014-06-01,0.4,-0.11,0.55,0.38,0.49,0.37,-0.02,0.6,1.57,0.02
2014-07-01,0.01,-0.15,1.2,0.86,-0.24,-0.98,-0.79,0.5,0.12,0.04
2014-08-01,0.25,-0.15,0.94,0.47,-0.15,0.33,0.1,0.41,0.09,0.43
2014-09-01,0.57,0.78,0.77,0.34,0.57,0.63,0.13,0.33,0.39,0.18
